Tool,Ships,VersionsOnDisk,File,TypeName,VersionInFilename,VersionInType,FilenameTypeMismatch,Icon,IconStatus,IconGroup,IconMotif,IconPalette,SizeMB,ArchiveMB,Notes,Decision
PipeCreator,SHIP,1,Sops/Modeling/AB.PipeCreator.2.0.hda,AB::PipeCreator::2.0,2.0,2.0,,SOP_AB__PipeCreator.svg,ok,Pipes / Plumbing,pipe,steel,0.08,0,,
PipesAndEnds,SHIP,1,Sops/Parts/AB.PipesAndEnds.1.0.hda,AB::PipesAndEnds::1.0,1.0,1.0,,SOP_AB__PipesAndEnds.svg,ok,Pipes / Plumbing,pipe,slate,0.05,0,,
PlanterGenerator,SHIP,1,Sops/CityProps/AB.PlanterGenerator.2.0.hda,AB::PlanterGenerator::2.0,2.0,2.0,,SOP_AB__PlanterGenerator.svg,ok,Nature / Organic,plant,amber,0.03,0,,
PlantOnsFuturistic,SHIP,1,Sops/PlantOns/AB.PlantOnsFuturistic.2.0.hda,AB::PlantOnsFuturistic::2.0,2.0,2.0,,SOP_AB__PlantOnsFuturistic.svg,ok,Nature / Organic,plant,cyan,3.68,0,,
PointBlends,SHIP,1,Sops/MotionGraphics/AB.PointBlends.1.0.hda,AB::PointBlends::1.0,1.0,1.0,,SOP_AB__PointBlends.svg,ok,Scatter / Copy,scatter,violet,0.02,0,,
PoleGenerator,SHIP,1,Sops/CityProps/AB.PoleGenerator.1.0.hda,AB::PoleGenerator::1.0,1.0,1.0,,SOP_AB__PoleGenerator.svg,ok,Street props,utility_pole,amber,0.1,0,,
PythonScripter,SHIP,1,Sops/Utilities/AB.PythonScripter.1.0.hda,AB::PythonScripter::1.0,1.0,1.0,,SOP_AB__PythonScripter.svg,ok,Utility / Code,circuit,violet,0.0,0,,
RadialFalloff,SHIP,1,Sops/Utilities/AB.RadialFalloff.1.0.hda,AB::RadialFalloff::1.0,1.0,1.0,,SOP_AB__RadialFalloff.svg,ok,Scatter / Copy,radial,gold,0.01,0,,
RadialPointSort,SHIP,1,Sops/Utilities/AB.RadialPointSort.1.0.hda,AB::RadialPointSort::1.0,1.0,1.0,,SOP_AB__RadialPointSort.svg,ok,Scatter / Copy,radial,amber,0.01,0,,
RadialScatter,SHIP,1,Sops/Utilities/AB.RadialScatter.1.5.hda,AB::RadialScatter::1.5,1.5,1.5,,SOP_AB__RadialScatter.svg,ok,Scatter / Copy,radial,teal,0.02,0,,
RadialScatterVex,SHIP,1,Sops/Scatters/AB.RadialScatterVex.1.0.hda,AB::RadialScatterVex::1.0,1.0,1.0,,SOP_AB__RadialScatterVex.svg,ok,Scatter / Copy,radial,cyan,0.01,0,,
RadialSmoothNoise,SHIP,1,Sops/Utilities/AB.RadialSmoothNoise.1.0.hda,AB::RadialSmoothNoise::1.0,1.0,1.0,,SOP_AB__RadialSmoothNoise.svg,ok,Scatter / Copy,math_curve,violet,0.01,0,,
RandomArcs,SHIP,1,Sops/MotionGraphics/AB.RandomArcs.1.0.hda,AB::RandomArcs::1.0,1.0,1.0,,SOP_AB__RandomArcs.svg,ok,Math / Curves / Noise,math_curve,teal,0.01,0,,
ResortGenerator,SHIP,1,Sops/Buildings/AB.ResortGenerator.3.0.hda,AB::ResortGenerator::3.0,3.0,3.0,,SOP_AB__ResortGenerator.svg,ok,City / Urban,buildings_cluster,teal,0.12,0,,
RetailBuildings,superseded,2,Sops/Buildings/AB.RetailBuildings.3.1.hda,AB::RetailBuildings::3.1,3.1,3.1,,SOP_AB__RetailBuildings.svg,,City / Urban,buildings_cluster,teal,0.11,0.11,,
RetailBuildings,SHIP,2,Sops/Buildings/AB.RetailBuildings.3.2.hda,AB::RetailBuildings::3.2,3.2,3.2,,SOP_AB__RetailBuildings.svg,ok,City / Urban,buildings_cluster,teal,0.16,0,,
RoadSimpleGenerator,superseded,15,Sops/WorldBuilding/AB.RoadSimpleGenerator.2.0.hda,AB::RoadSimpleGenerator::2.0,2.0,2.0,,SOP_AB__RoadSimpleGenerator.svg,,Roads / Infrastructure,road,teal,0.11,0.11,,
RoadSimpleGenerator,superseded,15,Sops/WorldBuilding/AB.RoadSimpleGenerator.2.1.hda,AB::RoadSimpleGenerator::2.1,2.1,2.1,,SOP_AB__RoadSimpleGenerator.svg,,Roads / Infrastructure,road,teal,0.1,0.1,,
RoadSimpleGenerator,superseded,15,Sops/WorldBuilding/AB.RoadSimpleGenerator.2.2.hda,AB::RoadSimpleGenerator::2.2,2.2,2.2,,SOP_AB__RoadSimpleGenerator.svg,,Roads / Infrastructure,road,teal,0.1,0.1,,
RoadSimpleGenerator,superseded,15,Sops/WorldBuilding/AB.RoadSimpleGenerator.2.3.hda,AB::RoadSimpleGenerator::2.3,2.3,2.3,,SOP_AB__RoadSimpleGenerator.svg,,Roads / Infrastructure,road,teal,0.1,0.1,,
RoadSimpleGenerator,superseded,15,Sops/WorldBuilding/AB.RoadSimpleGenerator.2.4.hda,AB::RoadSimpleGenerator::2.4,2.4,2.4,,SOP_AB__RoadSimpleGenerator.svg,,Roads / Infrastructure,road,teal,0.13,0.13,,
RoadSimpleGenerator,superseded,15,Sops/WorldBuilding/AB.RoadSimpleGenerator.2.5.hda,AB::RoadSimpleGenerator::2.5,2.5,2.5,,SOP_AB__RoadSimpleGenerator.svg,,Roads / Infrastructure,road,teal,0.14,0.14,,
RoadSimpleGenerator,superseded,15,Sops/WorldBuilding/AB.RoadSimpleGenerator.2.6.hda,AB::RoadSimpleGenerator::2.6,2.6,2.6,,SOP_AB__RoadSimpleGenerator.svg,,Roads / Infrastructure,road,teal,0.41,0.41,,
RoadSimpleGenerator,superseded,15,Sops/WorldBuilding/AB.RoadSimpleGenerator.2.7.hda,AB::RoadSimpleGenerator::2.7,2.7,2.7,,SOP_AB__RoadSimpleGenerator.svg,,Roads / Infrastructure,road,teal,0.39,0.39,,
RoadSimpleGenerator,superseded,15,Sops/WorldBuilding/AB.RoadSimpleGenerator.2.8.hda,AB::RoadSimpleGenerator::2.8,2.8,2.8,,SOP_AB__RoadSimpleGenerator.svg,,Roads / Infrastructure,road,teal,0.55,0.55,,
RoadSimpleGenerator,superseded,15,Sops/WorldBuilding/AB.RoadSimpleGenerator.2.9.hda,AB::RoadSimpleGenerator::2.9,2.9,2.9,,SOP_AB__RoadSimpleGenerator.svg,,Roads / Infrastructure,road,teal,0.42,0.42,,
RoadSimpleGenerator,superseded,15,Sops/WorldBuilding/AB.RoadSimpleGenerator.3.0.hda,AB::RoadSimpleGenerator::3.0,3.0,3.0,,SOP_AB__RoadSimpleGenerator.svg,,Roads / Infrastructure,road,teal,0.56,0.56,,
RoadSimpleGenerator,superseded,15,Sops/WorldBuilding/AB.RoadSimpleGenerator.3.1.hda,AB::RoadSimpleGenerator::3.1,3.1,3.1,,SOP_AB__RoadSimpleGenerator.svg,,Roads / Infrastructure,road,teal,0.53,0.53,,
RoadSimpleGenerator,superseded,15,Sops/WorldBuilding/AB.RoadSimpleGenerator.3.2.hda,AB::RoadSimpleGenerator::3.2,3.2,3.2,,SOP_AB__RoadSimpleGenerator.svg,,Roads / Infrastructure,road,teal,0.54,0.54,,
RoadSimpleGenerator,superseded,15,Sops/WorldBuilding/AB.RoadSimpleGenerator.3.3.hda,AB::RoadSimpleGenerator::3.3,3.3,3.3,,SOP_AB__RoadSimpleGenerator.svg,,Roads / Infrastructure,road,teal,0.65,0.65,,
RoadSimpleGenerator,SHIP,15,Sops/WorldBuilding/AB.RoadSimpleGenerator.3.4.hda,AB::RoadSimpleGenerator::3.4,3.4,3.4,,SOP_AB__RoadSimpleGenerator.svg,ok,Roads / Infrastructure,road,teal,0.6,0,,
RoadTerrainGenerator,SHIP,1,Sops/WorldBuilding/AB.RoadTerrainGenerator.2.9.hda,AB::RoadTerrainGenerator::2.9,2.9,2.9,,SOP_AB__RoadTerrainGenerator.svg,ok,Roads / Infrastructure,road,teal,0.14,0,,
RockClumps,SHIP,1,Sops/Modeling/AB.RockClumps.2.0.hda,AB::RockClumps::2.0,2.0,2.0,,SOP_AB__RockClumps.svg,ok,Rocks / Terrain,rock,slate,0.05,0,,
RockMaker,SHIP,1,Sops/Natural/AB.RockMaker.2.0.hda,AB::RockMaker::2.0,2.0,2.0,,SOP_AB__RockMaker.svg,ok,Lights,rock,amber,0.07,0,,
RocksArched,SHIP,1,Sops/Natural/AB.RocksArched.2.0.hda,AB::RocksArched::2.0,2.0,2.0,,SOP_AB__RocksArched.svg,ok,Rocks / Terrain,rock,peach,0.04,0,,
RooftopMechanicals,SHIP,1,Sops/BuildingProps/AB.RooftopMechanicals.3.0.hda,AB::RooftopMechanicals::3.0,3.0,3.0,,SOP_AB__RooftopMechanicals.svg,ok,Rooftop,rooftop,gold,0.12,0,,
RooftopProcessor,SHIP,1,Sops/BuildingHelpers/AB.RooftopProcessor.1.0.hda,AB::RooftopProcessor::1.0,1.0,1.0,,SOP_AB__RooftopProcessor.svg,ok,Rooftop,rooftop,slate,0.06,0,,
RoofTopSignGenerator,SHIP,1,Sops/CityProps/AB.RoofTopSignGenerator.4.8.hda,AB::RoofTopSignGenerator::4.8,4.8,4.8,,SOP_AB__RoofTopSignGenerator.svg,ok,Rooftop,sign_post,amber,0.22,0,,
RoofVentGenerator,SHIP,1,Sops/BuildingProps/AB.RoofVentGenerator.3.0.hda,AB::RoofVentGenerator::3.0,3.0,3.0,,SOP_AB__RoofVentGenerator.svg,ok,Rooftop,rooftop,slate,0.05,0,,
SateliteDishGenerator,SHIP,1,Sops/BuildingProps/AB.SateliteDishGenerator.1.0.hda,AB::SateliteDishGenerator::3.0,1.0,3.0,MISMATCH,SOP_AB__SateliteDishGenerator.svg,ok,Industrial / Large props,antenna,slate,0.02,0,,
ShippingContainers,SHIP,1,Sops/CityProps/AB.ShippingContainers.4.0.hda,AB::ShippingContainers::4.0,4.0,4.0,,SOP_AB__ShippingContainers.svg,ok,Industrial / Large props,container,steel,0.05,0,,
SidewalkProcessor,SHIP,1,Sops/CityHelpers/AB.SidewalkProcessor.1.0.hda,AB::SidewalkProcessor::1.0,1.0,1.0,,SOP_AB__SidewalkProcessor.svg,ok,Roads / Infrastructure,road,slate,0.04,0,,
SignHighway,superseded,2,Sops/CityProps/AB.SignHighway.1.0.hda,AB::SignHighway::1.0,1.0,1.0,,SOP_AB__SignHighway.svg,,Signs / Billboards,billboard,teal,0.05,0.05,,
SignHighway,SHIP,2,Sops/CityProps/AB.SignHighway.2.0.hda,AB::SignHighway::1.0,2.0,1.0,MISMATCH,SOP_AB__SignHighway.svg,ok,Signs / Billboards,billboard,teal,0.11,0,,
SignLibrary,SHIP,1,Sops/CityProps/AB.SignLibrary.1.0.hda,AB::SignLibrary::1.0,1.0,1.0,,SOP_AB__SignLibrary.svg,ok,Wood,data_bars,amber,0.04,0,,
SignPlate,SHIP,1,Sops/CityProps/AB.SignPlate.1.0.hda,AB::SignPlate::1.0,1.0,1.0,,SOP_AB__SignPlate.svg,ok,Wood,sign_post,amber,0.01,0,,
SimplePipe,SHIP,1,Sops/Parts/AB.SimplePipe.2.0.hda,AB::SimplePipe::2.0,2.0,2.0,,SOP_AB__SimplePipe.svg,ok,Pipes / Plumbing,pipe,teal,0.01,0,,
SingleBlockGenerator,SHIP,1,Sops/CityGen/AB.SingleBlockGenerator.2.0.hda,AB::SingleBlockGenerator::2.0,2.0,2.0,,SOP_AB__SingleBlockGenerator.svg,ok,Towers / Skyscrapers,single_tower,slate,0.15,0,,
SkylightGenerator,SHIP,1,Sops/BuildingProps/AB.SkylightGenerator.2.0.hda,AB::SkylightGenerator::2.0,2.0,2.0,,SOP_AB__SkylightGenerator.svg,ok,Rooftop,rooftop,cyan,0.06,0,,
SkyscraperGenerator,superseded,2,Sops/Buildings/AB.SkyscraperGenerator.2.0.hda,AB::SkyscraperGenerator::2.0,2.0,2.0,,SOP_AB__SkyscraperGenerator.svg,,Towers / Skyscrapers,single_tower,emerald,0.39,0.39,,
SkyscraperGenerator,SHIP,2,Sops/Buildings/AB.SkyscraperGenerator.2.1.hda,AB::SkyscraperGenerator::2.1,2.1,2.1,,SOP_AB__SkyscraperGenerator.svg,ok,Towers / Skyscrapers,single_tower,emerald,0.4,0,,
SmallBridgeGenerator,SHIP,1,Sops/SetDressing/AB.SmallBridgeGenerator.0.5.hda,AB::SmallBridgeGenerator::1.0,0.5,1.0,MISMATCH,SOP_AB__SmallBridgeGenerator.svg,ok,Roads / Infrastructure,bridge,steel,0.01,0,,
SolarPanelGenerator,SHIP,1,Sops/BuildingProps/AB.SolarPanelGenerator.3.0.hda,AB::SolarPanelGenerator::3.0,3.0,3.0,,SOP_AB__SolarPanelGenerator.svg,ok,Rooftop,solar,gold,0.04,0,,
SpaceFillingCircuit,SHIP,1,Sops/MotionGraphics/AB.SpaceFillingCircuit.1.0.hda,AB::SpaceFillingCircuit::1.0,1.0,1.0,,SOP_AB__SpaceFillingCircuit.svg,ok,Math / Curves / Noise,circuit,emerald,0.03,0,,
SplashTool,SHIP,1,Sops/VFX/AB.SplashTool.1.0.hda,AB::SplashTool::1.0,1.0,1.0,,SOP_AB__SplashTool.svg,ok,VFX / Lightning,scatter,teal,0.08,0,,
StairGenerator,SHIP,1,Sops/BuildingProps/AB.StairGenerator.1.0.hda,AB::StairGenerator::1.0,1.0,1.0,,SOP_AB__StairGenerator.svg,ok,Ladders / Stairs / Escape,stair_steps,steel,0.08,0,,
StairwayTops,SHIP,1,Sops/BuildingProps/AB.StairwayTops.3.0.hda,AB::StairwayTops::3.0,3.0,3.0,,SOP_AB__StairwayTops.svg,ok,Ladders / Stairs / Escape,stair_steps,slate,0.17,0,,
StreetLightGenerator,superseded,3,Sops/CityProps/AB.StreetLightGenerator.2.0.hda,AB::StreetLightGenerator::2.0,2.0,2.0,,SOP_AB__StreetLightGenerator.svg,,Street props,street_prop,amber,0.23,0.23,,
StreetLightGenerator,superseded,3,Sops/CityProps/AB.StreetLightGenerator.2.1.hda,AB::StreetLightGenerator::2.1,2.1,2.1,,SOP_AB__StreetLightGenerator.svg,,Street props,street_prop,amber,0.23,0.23,,
StreetLightGenerator,SHIP,3,Sops/CityProps/AB.StreetLightGenerator.2.2.hda,AB::StreetLightGenerator::2.2,2.2,2.2,,SOP_AB__StreetLightGenerator.svg,ok,Street props,street_prop,amber,0.26,0,,
StreetSignGenerator,superseded,2,Sops/CityProps/AB.StreetSignGenerator.2.0.hda,AB::StreetSignGenerator::2.0,2.0,2.0,,SOP_AB__StreetSignGenerator.svg,,Signs / Billboards,sign_post,amber,0.18,0.18,,
StreetSignGenerator,SHIP,2,Sops/CityProps/AB.StreetSignGenerator.3.0.hda,AB::StreetSignGenerator::3.0,3.0,3.0,,SOP_AB__StreetSignGenerator.svg,ok,Signs / Billboards,sign_post,amber,0.1,0,,
SubdivideLots,SHIP,1,Sops/CityGen/AB.SubdivideLots.2.0.hda,AB::SubdivideLots::2.0,2.0,2.0,,SOP_AB__SubdivideLots.svg,ok,Roads / Infrastructure,noise_grid,slate,0.34,0,,
SuperFormula,SHIP,1,Sops/Modeling/AB.SuperFormula.1.0.hda,AB::SuperFormula::1.0,1.0,1.0,,SOP_AB__SuperFormula.svg,ok,Math / Curves / Noise,math_curve,cyan,0.01,0,,
TowerGenerator,SHIP,1,Sops/CityProps/AB.TowerGenerator.1.0.hda,AB::TowerGenerator::1.0,1.0,1.0,,SOP_AB__TowerGenerator.svg,ok,Towers / Skyscrapers,single_tower,steel,0.08,0,,
TrashCanGenerator,SHIP,1,Sops/CityProps/AB.TrashCanGenerator.2.0.hda,AB::TrashCanGenerator::2.0,2.0,2.0,,SOP_AB__TrashCanGenerator.svg,ok,Street props,street_prop,slate,0.04,0,,
UnrealTerrainWrite,SHIP,1,Sops/Utilities/AB.UnrealTerrainWrite.1.0.hda,AB::UnrealTerrainWrite::1.0,1.0,1.0,,SOP_AB__UnrealTerrainWrite.svg,ok,Utility / Code,road,gold,0.0,0,,
UtilityPoleGenerator,SHIP,1,Sops/CityProps/AB.UtilityPoleGenerator.3.0.hda,AB::UtilityPoleGenerator::3.0,3.0,3.0,,SOP_AB__UtilityPoleGenerator.svg,ok,Electrical / Electronic,utility_pole,slate,0.22,0,,
ValveGenerator,SHIP,1,Sops/Parts/AB.ValveGenerator.2.0.hda,AB::ValveGenerator::2.0,2.0,2.0,,SOP_AB__ValveGenerator.svg,ok,Pipes / Plumbing,pipe,crimson,0.01,0,,
VDBooleans,SHIP,1,Sops/Volume/AB.VDBBooleans.1.0.hda,AB::VDBooleans::1.0,1.0,1.0,,SOP_AB__VDBooleans.svg,ok,Utility / Code,vdb,teal,0.01,0,,
VentGenerator,SHIP,1,Sops/Parts/AB.VentGenerator.2.0.hda,AB::VentGenerator::2.0,2.0,2.0,,SOP_AB__VentGenerator.svg,ok,Pipes / Plumbing,rooftop,steel,0.05,0,,
VexBrancher,SHIP,1,Sops/Modeling/AB.VexBrancher.1.0.hda,AB::VexBrancher::1.0,1.0,1.0,,SOP_AB__VexBrancher.svg,ok,Utility / Code,growth,violet,0.02,0,,
VictorianHouses,superseded,2,Sops/Buildings/AB.VictorianHouses.1.0.hda,AB::VictorianHouses::1.0,1.0,1.0,,SOP_AB__VictorianHouses.svg,,City / Urban,buildings_cluster,peach,0.35,0.35,,
VictorianHouses,SHIP,2,Sops/Buildings/AB.VictorianHouses.1.1.hda,AB::VictorianHouses::1.1,1.1,1.1,,SOP_AB__VictorianHouses.svg,ok,City / Urban,buildings_cluster,peach,0.35,0,,
VisTools,SHIP,1,Sops/Utilities/AB.VisTools.1.0.hda,AB::VisTools::1.0,1.0,1.0,,SOP_AB__VisTools.svg,ok,Data / Visualization,data_bars,teal,0.01,0,,
WaterTankGenerator,SHIP,1,Sops/BuildingProps/AB.WaterTankGenerator.2.0.hda,AB::WaterTankGenerator::2.0,2.0,2.0,,SOP_AB__WaterTankGenerator.svg,ok,Industrial / Large props,water_tank,steel,0.15,0,,
WindowGenerator,SHIP,1,Sops/BuildingProps/AB.WindowGenerator.3.1.hda,AB::WindowGenerator::3.1,3.1,3.1,,SOP_AB__WindowGenerator.svg,ok,Facades / Windows / Doors,window_facade,steel,0.23,0,,
WindowsCreateCopies,SHIP,1,Sops/BuildingHelpers/AB.WindowsCreateCopies.2.0.hda,AB::WindowsCreateCopies::2.0,2.0,2.0,,SOP_AB__WindowsCreateCopies.svg,ok,Facades / Windows / Doors,window_facade,slate,0.02,0,,
WiresWithRings,SHIP,1,Sops/Modeling/AB.WiresWithRings.1.0.1.0.hda,AB::WiresWithRings::1.0,1.0,1.0,,SOP_AB__WiresWithRings.svg,ok,Wires / Cables,wire_poles,gold,0.03,0,,
WoodenPierGenerator,SHIP,1,Sops/SetDressing/AB.WoodenPierGenerator.1.0.hda,AB::WoodenPierGenerator::1.0,1.0,1.0,,SOP_AB__WoodenPierGenerator.svg,ok,Wood,wood_planks,peach,0.03,0,,
WoodPlankGenerator,SHIP,1,Sops/Modeling/AB.WoodPlankGenerator.1.0.1.0.hda,AB::WoodPlankGenerator::1.0,1.0,1.0,,SOP_AB__WoodPlankGenerator.svg,ok,Wood,wood_planks,amber,0.02,0,,
ZoneAudit,SHIP,1,Sops/Utilities/AB.ZoneAudit.1.0.hda,AB::ZoneAudit::1.0,1.0,1.0,,SOP_AB__ZoneAudit.svg,ok,Wood,data_bars,teal,0.01,0,,
